thread_id,customer_query,brand_resolution,intent,brand,turn_count
TH-697,The newest update. I️ made sure to download it yesterday.,Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. [link],technical_issue,AppleSupport,2
TH-702,Tried resetting my settings .. restarting my phone .. all that,Let's go to DM for the next steps. DM us here: [link],general_inquiry,AppleSupport,2
TH-704,This is what it looks like [link],Any steps tried since it started last night?,general_inquiry,AppleSupport,2
TH-707,I️ have an iPhone 7 Plus and yes I️ do,That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,general_inquiry,AppleSupport,2
TH-709,I️ need answers because it’s annoying 🙃,We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,general_inquiry,AppleSupport,2
TH-714,"Hey and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. [link]",technical_issue,AppleSupport,2
TH-717,This is what is happening... [link],We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. [link],technical_issue,AppleSupport,2
TH-719,Tf is wrong with my keyboard,"Fill us in on what is happening, then we can help out from there.",general_inquiry,AppleSupport,2
TH-721,are the call centres closed for the night?,We've received your DM and will continue there.,general_inquiry,AppleSupport,2
TH-723,hello are all the lines closed for tonight #help,What's going on? We're hapy to help if we can. [link],general_inquiry,AppleSupport,2
TH-725,I️ upgraded. I️t didn’t work.,"Reach out to us via DM, and we can take a look at this with you. [link]",general_inquiry,AppleSupport,2
TH-730,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also [link]","You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: [link]",technical_issue,AppleSupport,2
TH-733,I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,Go ahead and send us a DM please. Let us know the country you're in.,hardware_repair,AppleSupport,2
TH-735,I have the iPhone 6s Plus and just did the most recent update.,"To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: [link]",technical_issue,AppleSupport,2
TH-736,Thank you I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",technical_issue,AppleSupport,2
TH-742,Okey. Thank you! 🤗,"Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help.",general_inquiry,AppleSupport,2
TH-740,iPhone 7 Plus 😊,Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,general_inquiry,AppleSupport,2
TH-745,I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁,Hi there! What type of device are we working with?,hardware_repair,AppleSupport,2
TH-747,Hola necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,We offer support via Twitter in English. Get help in Spanish here: [link] or join [link],general_inquiry,AppleSupport,2
TH-749,Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! [link],We want to help! DM us and let us know more about the issues you are having. [link],general_inquiry,AppleSupport,2
